OBJECTID_1,OBJECTID,ROADWAY,BEGIN_POST,END_POST,URBAREA,FUNCLASS,TYPEROAD,USROUTE,STROADNO,MNG_DIST_C,CONTYDOT,AADT_2024,NOLANES_To,MAXSPEED_M,IsSignaliz,Countermea,Counterme1,Counterme2,LocationID,LocationSt,CrashModif,CostScenar,CostEstima,TotalLives,Crash_Save,Crash_Sav1,Crash_Sav2,Crash_Sav3,Benefit_Al,Benefit_KA,CostPerLif,CrashSavin,CostBenefi,PresentVal,PresentVa1,NetPresent,Intersecti,FDOT Manag,FDOT Count,Intersect1,Intersect2,Entering V,AADT Major,AADT Minor,Signalized,CentralPoi,CentralPo1,Counterme3,Serious In,Intersect3,Match_Stat,Matched_ID,Match_Cnt,Ovl_Ft,Ovl_Mi,Ovl_Pct,Ang_Dif,Min_Ft,QC_Flag,WP_IDs,WP_Count
116540,258380,92090000,13.617,13.774,KISSIMMEE,URBAN PRIN ART OTHER,DIVIDED,US  192,SR  530,5,OSCEOLA,67390,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-04940,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIS,5,92,92090000 = 13.688|92A02411 = .104|92A04881 = 0,ORANGE BLVD|US-192,32445,92090000,92A02411,Y,-81.43155508,28.3045101,10,,On-System / Off-System,On Corridor,"448783-1, 454331-2, 454331-1",4,828,0.16,100,0,0.9,Verified Match,"448783-1, 454331-2, 454331-1",4
92654,223019,87002000,7.063,7.127,MIAMI,URBAN PRIN ART OTHER,DIVIDED,,SR  823,6,MIAMI-DADE,52000,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-05952,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIC,6,87,87002000 = 7.115|87A05825 = 0|87A32436 = .328,NW 176TH ST|NW 57TH AVE,27500,87002000,87A05825,Y,-80.29347513,25.93311776,10,,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
98835,225207,87026000,4.77,4.827,MIAMI,URBAN MINOR ART,DIVIDED,,SR  860,6,MIAMI-DADE,33000,6,40,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-06528,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIC,6,87,87026000 = 4.815|87A10406 = .198|87A10423 = .339,NW 183RD ST|NW 8TH PL,15750,87026000,87A10406,Y,-80.21646422,25.94199911,10,,On-System / Off-System,On Corridor,"447800-2, 447800-1, 449362-1",5,301,0.06,100,0,0.3,Verified Match,"447800-2, 447800-1, 449362-1",5
99303,220294,87001000,10.287,10.307,MIAMI,URBAN PRIN ART OTHER,DIVIDED,,SR   94,6,MIAMI-DADE,39500,7,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-04151,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIS,6,87,87001000 = 10.303|87A32649 = .011,SW 73RD PL|SW 88TH ST,18250,87001000,87A20880,Y,-80.31489739,25.68864056,10,,On-System / Off-System,On Corridor,437784-1,1,106,0.02,100,0,0.1,Verified Match,437784-1,1
99354,223561,87053000,1.204,1.397,MIAMI,URBAN MINOR ART,DIVIDED,,SR  968,6,MIAMI-DADE,51000,6,40,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-05358,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIC,6,87,87053000 = 1.263|87A04935 = .397|87A16687 = 0,FLORIDA BLVD|NW 74TH AVE|W FLAGLER ST,26000,87053000,87A04935,Y,-80.31599782,25.76981441,10,,On-System / Off-System,On Corridor,437782-3,1,1019,0.19,100,0,0.2,Verified Match,437782-3,1
102663,237184,87240000,1.794,1.807,MIAMI,URBAN PRIN ART OTHER,DIVIDED,,SR    9,6,MIAMI-DADE,41500,6,40,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-03820,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIS,6,87,87240000 = 1.803|87A17010 = 0|87A17011 = 1.013,SW 27TH AVE|SW 7TH ST,20500,87240000,87A17010,Y,-80.2388653,25.76607498,10,,On-System / Off-System,Off Corridor,,0,0,0,0,89.8,288.5,No Match - Angle Mismatch,,0
102931,233597,87281000,10.091,10.212,MIAMI,URBAN PRIN ART OTHER,DIVIDED,,SR  953,6,MIAMI-DADE,17100,6,40,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-03788,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIS,6,87,87281000 = 10.099|87A12959 = 1.009,E 55TH ST|NW 42ND AVE,7700,87281000,87A04885,Y,-80.26699702,25.87281,10,,On-System / Off-System,On Corridor,447803-1,3,640,0.12,100,0,0.3,Verified Match,447803-1,3
102965,233687,87281000,3.282,3.403,MIAMI,URBAN PRIN ART OTHER,DIVIDED,,SR  953,6,MIAMI-DADE,55000,6,40,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-04948,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIS,6,87,87281000 = 3.356|87A32558 = .862|87A32559 = .01,NW 3RD ST|NW 42ND AVE,27000,87281000,87A32558,Y,-80.26383991,25.77513996,10,,On-System / Off-System,On Corridor,447809-1,1,641,0.12,100,0,0.2,Verified Match,447809-1,1
104076,224839,87030000,20.301,20.4,MIAMI,URBAN PRIN ART OTHER,DIVIDED,US    1,SR    5,6,MIAMI-DADE,48500,6,40,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-03164,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIC,6,87,87030000 = 20.399|87A11779 = .011|87A11785 = .267,BISCAYNE BLVD|HIGHLAND DR|NE 139TH ST,21750,87030000,87A11779,Y,-80.15915185,25.90413915,10,,On-System / Off-System,On Corridor,451123-1,5,525,0.1,100,0,0.4,Verified Match,451123-1,5
104374,227186,87026000,4.031,4.357,MIAMI,URBAN MINOR ART,DIVIDED,,SR  860,6,MIAMI-DADE,36500,6,40,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-06471,Potential Location,0.906000018,1,13357.2024403125,,,,,,,,,,,,13357.2024403125,,CIC,6,87,87026000 = 4.268|87A10431 = 1.102|87A10442 = .25,NE MIAMI GARDENS DR|NW 14TH AVE|NW 183RD ST,16500,87026000,87A10431,Y,-80.22525739,25.94161867,10,,On-System / Off-System,On Corridor,"447800-2, 447800-1, 449362-1",5,1720,0.33,100,0,0.3,Verified Match,"447800-2, 447800-1, 449362-1",5
